Month,Year,Product_id,Region,Units_expected,Stock,Percentage
February,2025,90,Zona Metropolitana De Guadalajara,878,1111,126.54
January,2025,39,Bajío,1063,1345,126.53
October,2025,44,Zona Metropolitana De Monterrey,1508,1908,126.53
August,2025,52,Zona Metropolitana De Monterrey,1165,1474,126.52
April,2025,98,Sureste,1203,1522,126.52
September,2025,31,Zona Metropolitana De Monterrey,1731,2190,126.52
July,2025,42,Ciudad De México,962,1217,126.51
December,2025,105,Zona Metropolitana De Guadalajara,1437,1818,126.51
July,2025,95,Zona Metropolitana De Monterrey,1939,2453,126.51
December,2025,89,Ciudad De México,2068,2616,126.5
March,2025,26,Zona Metropolitana De Monterrey,774,979,126.49
December,2025,80,Bajío,1155,1461,126.49
December,2025,19,Zona Metropolitana De Guadalajara,1922,2431,126.48
February,2025,54,Zona Metropolitana De Guadalajara,2149,2718,126.48
February,2025,31,Sur,1005,1271,126.47
October,2025,46,Noroeste,1205,1524,126.47
May,2025,20,Noroeste,1447,1830,126.47
June,2025,12,Bajío,1628,2059,126.47
June,2025,125,Zona Metropolitana De Monterrey,2063,2609,126.47
December,2025,101,Ciudad De México,1890,2390,126.46
October,2025,111,Zona Metropolitana De Guadalajara,1100,1391,126.45
March,2025,64,Sur,995,1258,126.43
November,2025,83,Sureste,1188,1502,126.43
October,2025,88,Ciudad De México,1007,1273,126.42
August,2025,71,Zona Metropolitana De Monterrey,2018,2551,126.41
February,2025,28,Ciudad De México,644,814,126.4
March,2025,23,Ciudad De México,803,1015,126.4
April,2025,4,Zona Metropolitana De Monterrey,1360,1719,126.4
November,2025,14,Zona Metropolitana De Monterrey,1966,2485,126.4
March,2025,63,Bajío,1171,1480,126.39
January,2025,62,Ciudad De México,1588,2007,126.39
November,2025,27,Ciudad De México,671,848,126.38
October,2025,116,Ciudad De México,724,915,126.38
January,2025,25,Zona Metropolitana De Guadalajara,747,944,126.37
November,2025,92,Ciudad De México,1111,1404,126.37
February,2025,51,Zona Metropolitana De Monterrey,1085,1371,126.36
February,2025,109,Bajío,1411,1783,126.36
December,2025,83,Zona Metropolitana De Monterrey,2003,2531,126.36
April,2025,46,Ciudad De México,1332,1683,126.35
September,2025,42,Noroeste,748,945,126.34
June,2025,44,Zona Metropolitana De Monterrey,1454,1837,126.34
October,2025,19,Zona Metropolitana De Guadalajara,1659,2096,126.34
March,2025,57,Zona Metropolitana De Guadalajara,1971,2490,126.33
March,2025,22,Zona Metropolitana De Monterrey,585,739,126.32
June,2025,31,Bajío,1137,1436,126.3
May,2025,90,Ciudad De México,753,951,126.29
November,2025,28,Ciudad De México,871,1100,126.29
September,2025,39,Sureste,1046,1321,126.29
September,2025,130,Ciudad De México,1560,1970,126.28
October,2025,15,Ciudad De México,2496,3152,126.28
July,2025,7,Zona Metropolitana De Guadalajara,1113,1405,126.24
July,2025,124,Bajío,652,823,126.23
August,2025,28,Zona Metropolitana De Guadalajara,713,900,126.23
August,2025,107,Noroeste,1502,1896,126.23
December,2025,81,Zona Metropolitana De Guadalajara,1601,2021,126.23
December,2025,90,Zona Metropolitana De Guadalajara,694,876,126.22
March,2025,25,Bajío,641,809,126.21
May,2025,120,Noroeste,870,1098,126.21
October,2025,52,Ciudad De México,1156,1459,126.21
August,2025,63,Noroeste,1156,1459,126.21
February,2025,74,Zona Metropolitana De Monterrey,1324,1671,126.21
February,2025,95,Ciudad De México,1591,2008,126.21
October,2025,69,Ciudad De México,1023,1291,126.2
September,2025,128,Bajío,1046,1320,126.2
September,2025,9,Sur,1080,1363,126.2
April,2025,128,Sureste,680,858,126.18
May,2025,28,Ciudad De México,909,1147,126.18
December,2025,51,Zona Metropolitana De Guadalajara,1249,1576,126.18
January,2025,56,Zona Metropolitana De Monterrey,1337,1687,126.18
May,2025,1,Bajío,1436,1812,126.18
February,2025,54,Sureste,1612,2034,126.18
June,2025,26,Bajío,703,887,126.17
July,2025,7,Bajío,1101,1389,126.16
August,2025,1,Noroeste,895,1129,126.15
September,2025,56,Ciudad De México,1522,1920,126.15
July,2025,39,Bajío,1560,1968,126.15
August,2025,99,Zona Metropolitana De Guadalajara,1247,1573,126.14
October,2025,12,Ciudad De México,2081,2625,126.14
December,2025,128,Ciudad De México,1175,1482,126.13
August,2025,29,Zona Metropolitana De Guadalajara,712,898,126.12
March,2025,91,Zona Metropolitana De Guadalajara,804,1014,126.12
October,2025,67,Bajío,961,1212,126.12
October,2025,26,Ciudad De México,988,1246,126.11
September,2025,118,Ciudad De México,1356,1710,126.11
February,2025,41,Zona Metropolitana De Guadalajara,1536,1937,126.11
March,2025,69,Noroeste,636,802,126.1
October,2025,38,Zona Metropolitana De Monterrey,1406,1773,126.1
July,2025,93,Zona Metropolitana De Guadalajara,1479,1865,126.1
June,2025,26,Zona Metropolitana De Guadalajara,644,812,126.09
January,2025,56,Noroeste,1181,1489,126.08
October,2025,117,Zona Metropolitana De Monterrey,1181,1489,126.08
April,2025,110,Zona Metropolitana De Monterrey,1488,1876,126.08
October,2025,87,Zona Metropolitana De Monterrey,1948,2456,126.08
January,2025,70,Bajío,771,972,126.07
January,2025,105,Noroeste,1121,1413,126.05
November,2025,71,Sur,1190,1500,126.05
May,2025,122,Sureste,672,847,126.04
August,2025,12,Bajío,1306,1646,126.03
March,2025,11,Zona Metropolitana De Guadalajara,1433,1806,126.03
February,2025,53,Zona Metropolitana De Guadalajara,1026,1293,126.02
May,2025,110,Zona Metropolitana De Guadalajara,1476,1860,126.02
September,2025,83,Ciudad De México,2338,2946,126.01
August,2025,124,Bajío,677,853,126.0
September,2025,74,Sureste,777,979,126.0
July,2025,3,Ciudad De México,1642,2069,126.0
May,2025,32,Ciudad De México,1942,2447,126.0
January,2025,126,Ciudad De México,1031,1299,125.99
October,2025,60,Zona Metropolitana De Guadalajara,1039,1309,125.99
September,2025,34,Ciudad De México,1770,2230,125.99
January,2025,6,Zona Metropolitana De Monterrey,1124,1416,125.98
January,2025,23,Zona Metropolitana De Monterrey,805,1014,125.96
August,2025,5,Ciudad De México,1202,1514,125.96
July,2025,115,Zona Metropolitana De Guadalajara,1348,1698,125.96
April,2025,100,Zona Metropolitana De Monterrey,1375,1732,125.96
March,2025,64,Zona Metropolitana De Monterrey,1433,1805,125.96
October,2025,32,Bajío,1556,1960,125.96
March,2025,125,Ciudad De México,1957,2465,125.96
August,2025,114,Noroeste,1426,1796,125.95
October,2025,94,Zona Metropolitana De Monterrey,1222,1539,125.94
November,2025,104,Zona Metropolitana De Monterrey,1457,1835,125.94
April,2025,55,Ciudad De México,2355,2966,125.94
November,2025,55,Zona Metropolitana De Guadalajara,1581,1991,125.93
October,2025,55,Sureste,1732,2181,125.92
September,2025,89,Bajío,1613,2031,125.91
March,2025,65,Zona Metropolitana De Guadalajara,1895,2386,125.91
December,2025,36,Zona Metropolitana De Monterrey,1452,1828,125.9
September,2025,73,Zona Metropolitana De Monterrey,1572,1979,125.89
February,2025,73,Ciudad De México,2175,2738,125.89
June,2025,105,Ciudad De México,1696,2135,125.88
January,2025,114,Ciudad De México,1843,2320,125.88
December,2025,13,Ciudad De México,2210,2782,125.88
November,2025,51,Sureste,905,1139,125.86
May,2025,106,Zona Metropolitana De Guadalajara,1551,1952,125.85
November,2025,102,Bajío,995,1252,125.83
February,2025,21,Bajío,639,804,125.82
May,2025,99,Ciudad De México,1092,1374,125.82
February,2025,32,Zona Metropolitana De Guadalajara,1367,1720,125.82
November,2025,15,Zona Metropolitana De Monterrey,2170,2730,125.81
January,2025,90,Zona Metropolitana De Guadalajara,880,1107,125.8
March,2025,57,Zona Metropolitana De Monterrey,1977,2487,125.8
December,2025,81,Ciudad De México,1811,2278,125.79
September,2025,23,Bajío,640,805,125.78
January,2025,87,Ciudad De México,1661,2089,125.77
July,2025,110,Noroeste,1219,1533,125.76
March,2025,127,Zona Metropolitana De Monterrey,2170,2729,125.76
August,2025,7,Ciudad De México,1437,1807,125.75
August,2025,73,Zona Metropolitana De Guadalajara,1674,2105,125.75
December,2025,107,Bajío,1973,2481,125.75
February,2025,116,Ciudad De México,808,1016,125.74
September,2025,88,Ciudad De México,909,1143,125.74
February,2025,7,Ciudad De México,1372,1725,125.73
December,2025,48,Ciudad De México,1465,1842,125.73
March,2025,94,Zona Metropolitana De Monterrey,1159,1457,125.71
December,2025,112,Zona Metropolitana De Monterrey,2019,2538,125.71
September,2025,26,Ciudad De México,1094,1375,125.69
July,2025,93,Zona Metropolitana De Monterrey,1569,1972,125.69
July,2025,79,Ciudad De México,2090,2627,125.69
December,2025,29,Zona Metropolitana De Monterrey,623,783,125.68
November,2025,120,Bajío,701,881,125.68
August,2025,55,Ciudad De México,2227,2799,125.68
July,2025,87,Ciudad De México,1827,2296,125.67
June,2025,22,Zona Metropolitana De Guadalajara,643,808,125.66
April,2025,99,Sureste,678,852,125.66
January,2025,1,Zona Metropolitana De Monterrey,1696,2131,125.65
April,2025,19,Zona Metropolitana De Guadalajara,1700,2136,125.65
January,2025,75,Zona Metropolitana De Monterrey,1358,1706,125.63
April,2025,125,Ciudad De México,2072,2603,125.63
February,2025,124,Zona Metropolitana De Guadalajara,804,1010,125.62
September,2025,62,Sur,965,1212,125.6
August,2025,48,Ciudad De México,1180,1482,125.59
September,2025,56,Zona Metropolitana De Guadalajara,1184,1487,125.59
November,2025,14,Noroeste,1274,1600,125.59
September,2025,26,Zona Metropolitana De Guadalajara,743,933,125.57
August,2025,24,Zona Metropolitana De Monterrey,837,1051,125.57
August,2025,70,Ciudad De México,915,1149,125.57
September,2025,11,Noroeste,1572,1974,125.57
October,2025,57,Bajío,1709,2146,125.57
November,2025,20,Zona Metropolitana De Monterrey,1980,2486,125.56
May,2025,14,Ciudad De México,2113,2653,125.56
September,2025,71,Zona Metropolitana De Monterrey,2088,2621,125.53
November,2025,66,Sur,984,1235,125.51
April,2025,100,Bajío,1298,1629,125.5
September,2025,50,Zona Metropolitana De Monterrey,1091,1369,125.48
May,2025,9,Zona Metropolitana De Monterrey,1570,1970,125.48
December,2025,87,Zona Metropolitana De Monterrey,1821,2285,125.48
December,2025,82,Zona Metropolitana De Monterrey,1257,1577,125.46
March,2025,19,Ciudad De México,2121,2661,125.46
August,2025,58,Ciudad De México,1368,1716,125.44
May,2025,1,Zona Metropolitana De Monterrey,1659,2081,125.44
July,2025,92,Zona Metropolitana De Monterrey,669,839,125.41
November,2025,8,Bajío,1378,1728,125.4
August,2025,18,Zona Metropolitana De Guadalajara,1705,2138,125.4
February,2025,88,Zona Metropolitana De Monterrey,764,958,125.39
August,2025,7,Zona Metropolitana De Monterrey,1213,1521,125.39
June,2025,130,Ciudad De México,1454,1823,125.38
March,2025,57,Bajío,1659,2080,125.38
February,2025,52,Ciudad De México,1706,2139,125.38
April,2025,5,Ciudad De México,954,1196,125.37
March,2025,130,Bajío,1163,1458,125.37
September,2025,96,Zona Metropolitana De Monterrey,2416,3029,125.37
June,2025,39,Noroeste,1337,1676,125.36
October,2025,42,Zona Metropolitana De Monterrey,923,1157,125.35
November,2025,42,Ciudad De México,1057,1325,125.35
June,2025,34,Bajío,1420,1780,125.35
October,2025,65,Zona Metropolitana De Guadalajara,2051,2571,125.35
September,2025,39,Noroeste,1160,1454,125.34
November,2025,107,Bajío,1638,2053,125.34
March,2025,97,Ciudad De México,2423,3037,125.34
December,2025,120,Zona Metropolitana De Guadalajara,896,1123,125.33
June,2025,112,Zona Metropolitana De Monterrey,1343,1683,125.32
December,2025,108,Zona Metropolitana De Guadalajara,1477,1851,125.32
April,2025,65,Ciudad De México,2488,3118,125.32
December,2025,111,Bajío,956,1198,125.31
April,2025,61,Ciudad De México,1912,2396,125.31
April,2025,113,Ciudad De México,2477,3104,125.31
February,2025,127,Ciudad De México,2572,3223,125.31
January,2025,4,Sureste,834,1045,125.3
March,2025,58,Zona Metropolitana De Monterrey,1265,1585,125.3
July,2025,76,Zona Metropolitana De Guadalajara,807,1011,125.28
April,2025,4,Noroeste,973,1219,125.28
November,2025,64,Ciudad De México,1531,1918,125.28
December,2025,41,Ciudad De México,1962,2458,125.28
March,2025,37,Zona Metropolitana De Monterrey,1310,1641,125.27
August,2025,68,Zona Metropolitana De Guadalajara,1694,2122,125.27
September,2025,118,Zona Metropolitana De Monterrey,1425,1785,125.26
December,2025,97,Ciudad De México,2272,2846,125.26
November,2025,22,Zona Metropolitana De Guadalajara,678,849,125.22
November,2025,60,Sureste,678,849,125.22
August,2025,92,Ciudad De México,980,1227,125.2
April,2025,11,Bajío,1627,2037,125.2
August,2025,116,Zona Metropolitana De Guadalajara,774,969,125.19
December,2025,80,Zona Metropolitana De Guadalajara,945,1183,125.19
March,2025,80,Zona Metropolitana De Monterrey,1036,1297,125.19
November,2025,112,Ciudad De México,1798,2251,125.19
August,2025,121,Ciudad De México,1085,1358,125.16
August,2025,128,Bajío,1085,1358,125.16
April,2025,96,Ciudad De México,2333,2920,125.16
July,2025,57,Bajío,1432,1792,125.14
April,2025,22,Bajío,581,727,125.13
February,2025,109,Zona Metropolitana De Guadalajara,1548,1937,125.13
May,2025,102,Ciudad De México,1107,1385,125.11
February,2025,96,Zona Metropolitana De Guadalajara,2039,2551,125.11
January,2025,104,Noroeste,980,1226,125.1
August,2025,119,Sureste,1291,1615,125.1
June,2025,57,Ciudad De México,1769,2213,125.1
January,2025,24,Noroeste,562,703,125.09
January,2025,76,Zona Metropolitana De Monterrey,877,1097,125.09
August,2025,78,Noroeste,1136,1421,125.09
April,2025,19,Sureste,1160,1451,125.09
August,2025,21,Zona Metropolitana De Guadalajara,714,893,125.07
March,2025,33,Noroeste,1077,1347,125.07
November,2025,117,Bajío,1169,1462,125.06
January,2025,14,Noroeste,1540,1926,125.06
February,2025,12,Ciudad De México,1580,1976,125.06
February,2025,34,Ciudad De México,1608,2011,125.06
July,2025,77,Zona Metropolitana De Monterrey,1369,1712,125.05
December,2025,1,Bajío,1409,1762,125.05
August,2025,73,Ciudad De México,1641,2052,125.05
May,2025,116,Zona Metropolitana De Monterrey,795,994,125.03
June,2025,48,Zona Metropolitana De Guadalajara,979,1224,125.03
May,2025,59,Zona Metropolitana De Monterrey,1478,1848,125.03
September,2025,94,Ciudad De México,1526,1908,125.03
January,2025,44,Zona Metropolitana De Guadalajara,1590,1988,125.03
February,2025,65,Bajío,1638,2048,125.03
February,2025,119,Zona Metropolitana De Guadalajara,1862,2328,125.03
October,2025,82,Zona Metropolitana De Guadalajara,1411,1764,125.02
March,2025,128,Sureste,476,595,125.0
May,2025,28,Zona Metropolitana De Guadalajara,676,845,125.0
December,2025,10,Zona Metropolitana De Guadalajara,1140,1425,125.0
January,2025,8,Zona Metropolitana De Guadalajara,1152,1440,125.0
January,2025,99,Zona Metropolitana De Guadalajara,1156,1445,125.0
November,2025,54,Zona Metropolitana De Guadalajara,2053,2566,124.99
July,2025,126,Noroeste,945,1181,124.97
August,2025,6,Bajío,953,1191,124.97
March,2025,14,Zona Metropolitana De Monterrey,1570,1962,124.97
October,2025,45,Ciudad De México,1698,2122,124.97
January,2025,44,Noroeste,1150,1437,124.96
November,2025,113,Zona Metropolitana De Monterrey,1899,2373,124.96
May,2025,11,Noroeste,1623,2028,124.95
August,2025,123,Ciudad De México,1627,2033,124.95
December,2025,49,Zona Metropolitana De Guadalajara,1639,2048,124.95
July,2025,106,Ciudad De México,1876,2344,124.95
December,2025,55,Ciudad De México,2132,2664,124.95
March,2025,38,Sureste,1283,1603,124.94
December,2025,32,Zona Metropolitana De Monterrey,1664,2079,124.94
March,2025,76,Zona Metropolitana De Guadalajara,682,852,124.93
August,2025,60,Sur,730,912,124.93
April,2025,6,Bajío,1139,1423,124.93
June,2025,11,Bajío,1737,2170,124.93
November,2025,9,Bajío,1196,1494,124.92
May,2025,11,Ciudad De México,2448,3058,124.92
February,2025,105,Ciudad De México,1618,2021,124.91
April,2025,43,Noroeste,1683,2102,124.9
January,2025,120,Zona Metropolitana De Guadalajara,904,1129,124.89
December,2025,85,Sur,1065,1330,124.88
July,2025,100,Sureste,1206,1506,124.88
June,2025,7,Ciudad De México,1447,1807,124.88
March,2025,49,Zona Metropolitana De Guadalajara,1620,2023,124.88
February,2025,115,Zona Metropolitana De Guadalajara,1894,2365,124.87
July,2025,20,Ciudad De México,2063,2576,124.87
July,2025,102,Noroeste,728,909,124.86
July,2025,127,Zona Metropolitana De Monterrey,2257,2818,124.86
October,2025,1,Noroeste,1167,1457,124.85
September,2025,54,Noroeste,1831,2286,124.85
February,2025,43,Zona Metropolitana De Monterrey,2109,2633,124.85
June,2025,11,Noroeste,1441,1799,124.84
February,2025,61,Zona Metropolitana De Monterrey,1575,1966,124.83
May,2025,39,Zona Metropolitana De Monterrey,1603,2001,124.83
March,2025,130,Sur,774,966,124.81
March,2025,13,Noroeste,1375,1716,124.8
January,2025,91,Zona Metropolitana De Monterrey,956,1193,124.79
July,2025,90,Noroeste,581,725,124.78
February,2025,10,Noroeste,803,1002,124.78
June,2025,123,Bajío,1130,1410,124.78
December,2025,12,Zona Metropolitana De Guadalajara,1929,2407,124.78
June,2025,29,Zona Metropolitana De Guadalajara,662,826,124.77
December,2025,76,Bajío,666,831,124.77
July,2025,114,Bajío,1546,1929,124.77
September,2025,120,Bajío,933,1164,124.76
December,2025,56,Zona Metropolitana De Guadalajara,1151,1436,124.76
April,2025,25,Zona Metropolitana De Guadalajara,889,1109,124.75
May,2025,104,Sureste,909,1134,124.75
February,2025,130,Ciudad De México,1487,1855,124.75
August,2025,63,Zona Metropolitana De Guadalajara,1273,1588,124.74
June,2025,91,Noroeste,894,1115,124.72
October,2025,53,Zona Metropolitana De Guadalajara,1076,1342,124.72
March,2025,50,Ciudad De México,1153,1438,124.72
April,2025,115,Bajío,1493,1862,124.72
May,2025,27,Zona Metropolitana De Guadalajara,700,873,124.71
July,2025,94,Sureste,866,1080,124.71
November,2025,57,Ciudad De México,2304,2873,124.7
June,2025,23,Zona Metropolitana De Guadalajara,725,904,124.69
January,2025,6,Zona Metropolitana De Guadalajara,1061,1323,124.69
January,2025,73,Zona Metropolitana De Monterrey,1713,2136,124.69
November,2025,20,Ciudad De México,1798,2242,124.69
June,2025,27,Zona Metropolitana De Guadalajara,628,783,124.68
July,2025,4,Noroeste,1078,1344,124.68
September,2025,106,Ciudad De México,1654,2062,124.67
August,2025,15,Ciudad De México,2201,2744,124.67
May,2025,24,Sureste,499,622,124.65
June,2025,36,Zona Metropolitana De Monterrey,1408,1755,124.64
August,2025,28,Ciudad De México,808,1007,124.63
February,2025,14,Zona Metropolitana De Guadalajara,1612,2009,124.63
June,2025,31,Ciudad De México,1701,2120,124.63
November,2025,38,Sureste,1182,1473,124.62
November,2025,109,Bajío,1515,1888,124.62
August,2025,94,Noroeste,967,1205,124.61
September,2025,1,Ciudad De México,1471,1833,124.61
April,2025,73,Zona Metropolitana De Guadalajara,1704,2123,124.59
March,2025,41,Zona Metropolitana De Guadalajara,1428,1779,124.58
June,2025,79,Noroeste,1566,1951,124.58
October,2025,86,Sur,525,654,124.57
January,2025,69,Zona Metropolitana De Monterrey,749,933,124.57
May,2025,94,Zona Metropolitana De Monterrey,1022,1273,124.56
December,2025,103,Zona Metropolitana De Monterrey,1246,1552,124.56
January,2025,117,Noroeste,1250,1557,124.56
August,2025,129,Ciudad De México,1881,2343,124.56
February,2025,18,Ciudad De México,2276,2835,124.56
June,2025,98,Ciudad De México,2312,2879,124.52
April,2025,70,Bajío,665,828,124.51
June,2025,4,Ciudad De México,1281,1595,124.51
October,2025,97,Bajío,1539,1916,124.5
January,2025,55,Sureste,1690,2104,124.5
October,2025,43,Zona Metropolitana De Guadalajara,1898,2363,124.5
September,2025,28,Sureste,588,732,124.49
June,2025,111,Zona Metropolitana De Monterrey,1119,1393,124.49
February,2025,126,Ciudad De México,1425,1774,124.49
February,2025,109,Zona Metropolitana De Monterrey,1433,1784,124.49
March,2025,1,Bajío,1531,1906,124.49
April,2025,121,Sureste,817,1017,124.48
February,2025,30,Zona Metropolitana De Guadalajara,707,880,124.47
June,2025,43,Sureste,1361,1694,124.47
May,2025,2,Zona Metropolitana De Guadalajara,1272,1583,124.45
February,2025,5,Zona Metropolitana De Monterrey,937,1166,124.44
February,2025,2,Zona Metropolitana De Guadalajara,1245,1549,124.42
February,2025,40,Ciudad De México,1994,2481,124.42
August,2025,23,Ciudad De México,984,1224,124.39
August,2025,51,Zona Metropolitana De Monterrey,1144,1423,124.39
May,2025,15,Zona Metropolitana De Guadalajara,1505,1872,124.39
May,2025,88,Noroeste,644,801,124.38
February,2025,105,Sur,763,949,124.38
November,2025,60,Ciudad De México,968,1204,124.38
January,2025,31,Zona Metropolitana De Guadalajara,1460,1816,124.38
March,2025,121,Zona Metropolitana De Guadalajara,1071,1332,124.37
December,2025,61,Noroeste,1235,1536,124.37
December,2025,34,Bajío,1519,1889,124.36
August,2025,45,Ciudad De México,1761,2190,124.36
November,2025,125,Ciudad De México,2110,2624,124.36
January,2025,65,Ciudad De México,2291,2849,124.36
May,2025,22,Sureste,542,674,124.35
September,2025,99,Sureste,772,960,124.35
July,2025,48,Bajío,887,1103,124.35
June,2025,110,Noroeste,1343,1670,124.35
September,2025,30,Noroeste,534,664,124.34
March,2025,46,Bajío,1064,1323,124.34
August,2025,43,Zona Metropolitana De Monterrey,2095,2605,124.34
January,2025,22,Bajío,637,792,124.33
February,2025,110,Noroeste,1159,1441,124.33
August,2025,41,Bajío,1459,1814,124.33
February,2025,121,Zona Metropolitana De Guadalajara,773,961,124.32
August,2025,110,Zona Metropolitana De Guadalajara,1489,1851,124.31
November,2025,48,Zona Metropolitana De Monterrey,1144,1422,124.3
November,2025,52,Sur,914,1136,124.29
September,2025,52,Zona Metropolitana De Monterrey,1145,1423,124.28
July,2025,74,Zona Metropolitana De Monterrey,1182,1469,124.28
August,2025,6,Ciudad De México,1186,1474,124.28
December,2025,8,Ciudad De México,1491,1853,124.28
June,2025,111,Ciudad De México,1228,1526,124.27
March,2025,78,Bajío,981,1219,124.26
July,2025,7,Zona Metropolitana De Monterrey,1356,1685,124.26
January,2025,71,Zona Metropolitana De Guadalajara,1826,2269,124.26
January,2025,32,Zona Metropolitana De Monterrey,1394,1732,124.25
May,2025,14,Noroeste,1172,1456,124.23
September,2025,36,Noroeste,1300,1615,124.23
November,2025,58,Zona Metropolitana De Monterrey,1325,1646,124.23
November,2025,64,Zona Metropolitana De Monterrey,1436,1784,124.23
April,2025,45,Ciudad De México,1556,1933,124.23
June,2025,16,Ciudad De México,1578,1960,124.21
May,2025,31,Zona Metropolitana De Monterrey,1661,2063,124.2
December,2025,93,Ciudad De México,1711,2125,124.2
July,2025,13,Zona Metropolitana De Monterrey,1905,2366,124.2
June,2025,126,Bajío,984,1222,124.19
September,2025,78,Zona Metropolitana De Guadalajara,1298,1612,124.19
May,2025,54,Sur,1509,1874,124.19
July,2025,58,Ciudad De México,1612,2002,124.19
March,2025,90,Zona Metropolitana De Monterrey,856,1063,124.18
August,2025,128,Zona Metropolitana De Monterrey,1187,1474,124.18
June,2025,104,Zona Metropolitana De Monterrey,1456,1808,124.18
August,2025,72,Ciudad De México,1820,2260,124.18
March,2025,43,Bajío,1651,2050,124.17
September,2025,29,Zona Metropolitana De Guadalajara,654,812,124.16
September,2025,21,Zona Metropolitana De Monterrey,683,848,124.16
October,2025,111,Ciudad De México,1362,1691,124.16
January,2025,40,Noroeste,1374,1706,124.16
December,2025,106,Zona Metropolitana De Monterrey,1631,2025,124.16
August,2025,97,Ciudad De México,2422,3007,124.15
April,2025,26,Zona Metropolitana De Monterrey,667,828,124.14
December,2025,32,Zona Metropolitana De Guadalajara,1508,1872,124.14
November,2025,24,Sureste,630,782,124.13
May,2025,58,Zona Metropolitana De Guadalajara,1459,1811,124.13
February,2025,93,Ciudad De México,1699,2109,124.13
February,2025,59,Ciudad De México,1832,2274,124.13
December,2025,72,Ciudad De México,2329,2891,124.13
April,2025,77,Zona Metropolitana De Guadalajara,1302,1616,124.12
May,2025,58,Zona Metropolitana De Monterrey,1481,1838,124.11
September,2025,90,Ciudad De México,917,1138,124.1
September,2025,8,Noroeste,1108,1375,124.1
July,2025,31,Ciudad De México,1477,1833,124.1
September,2025,117,Zona Metropolitana De Monterrey,1208,1499,124.09
June,2025,55,Bajío,1478,1834,124.09
May,2025,60,Zona Metropolitana De Monterrey,897,1113,124.08
June,2025,60,Noroeste,926,1149,124.08
September,2025,37,Noroeste,1250,1551,124.08
April,2025,15,Ciudad De México,1881,2334,124.08
October,2025,23,Zona Metropolitana De Guadalajara,673,835,124.07
January,2025,45,Noroeste,1338,1660,124.07
October,2025,68,Zona Metropolitana De Guadalajara,1799,2232,124.07
March,2025,71,Ciudad De México,2170,2692,124.06
November,2025,112,Noroeste,1480,1836,124.05
February,2025,57,Zona Metropolitana De Monterrey,2037,2527,124.05
January,2025,60,Zona Metropolitana De Guadalajara,990,1228,124.04
July,2025,32,Zona Metropolitana De Monterrey,1664,2064,124.04
September,2025,125,Ciudad De México,2196,2724,124.04
July,2025,51,Noroeste,982,1218,124.03
October,2025,56,Zona Metropolitana De Guadalajara,1182,1466,124.03
October,2025,101,Sureste,1233,1529,124.01
July,2025,85,Zona Metropolitana De Guadalajara,1470,1823,124.01
August,2025,83,Zona Metropolitana De Monterrey,2041,2531,124.01
September,2025,85,Sureste,1321,1638,124.0
October,2025,63,Zona Metropolitana De Monterrey,1683,2087,124.0
June,2025,118,Bajío,1167,1447,123.99
January,2025,66,Bajío,1384,1716,123.99
January,2025,41,Zona Metropolitana De Monterrey,1934,2398,123.99
August,2025,109,Ciudad De México,1985,2461,123.98
January,2025,17,Ciudad De México,1911,2369,123.97
February,2025,46,Ciudad De México,1561,1935,123.96
September,2025,125,Zona Metropolitana De Guadalajara,1904,2360,123.95
September,2025,125,Zona Metropolitana De Monterrey,2101,2604,123.94
June,2025,5,Ciudad De México,865,1072,123.93
June,2025,119,Zona Metropolitana De Guadalajara,1559,1932,123.93
May,2025,4,Ciudad De México,1571,1947,123.93
August,2025,40,Ciudad De México,1730,2144,123.93
September,2025,45,Ciudad De México,2089,2589,123.93
June,2025,20,Ciudad De México,1752,2171,123.92
November,2025,17,Zona Metropolitana De Guadalajara,1564,1938,123.91
December,2025,52,Zona Metropolitana De Guadalajara,979,1213,123.9
December,2025,77,Zona Metropolitana De Monterrey,1494,1851,123.9
September,2025,77,Noroeste,1059,1312,123.89
July,2025,32,Ciudad De México,1461,1810,123.89
October,2025,9,Ciudad De México,1637,2028,123.89
December,2025,11,Zona Metropolitana De Monterrey,1670,2069,123.89
August,2025,88,Sureste,582,721,123.88
May,2025,91,Ciudad De México,963,1193,123.88
October,2025,4,Bajío,1001,1240,123.88
April,2025,103,Bajío,1030,1276,123.88
March,2025,103,Noroeste,888,1100,123.87
July,2025,26,Zona Metropolitana De Guadalajara,809,1002,123.86
April,2025,50,Bajío,947,1173,123.86
February,2025,10,Ciudad De México,1341,1661,123.86
November,2025,105,Ciudad De México,1584,1962,123.86
February,2025,52,Bajío,1170,1449,123.85
October,2025,125,Sur,1304,1615,123.85
August,2025,38,Zona Metropolitana De Guadalajara,1472,1823,123.85
November,2025,76,Zona Metropolitana De Guadalajara,776,961,123.84
January,2025,88,Zona Metropolitana De Monterrey,747,925,123.83
January,2025,3,Ciudad De México,1687,2089,123.83
May,2025,69,Sureste,617,764,123.82
June,2025,53,Ciudad De México,1083,1341,123.82
May,2025,95,Sureste,1255,1554,123.82
September,2025,16,Ciudad De México,2179,2698,123.82
April,2025,22,Zona Metropolitana De Monterrey,735,910,123.81
March,2025,95,Ciudad De México,2016,2496,123.81
May,2025,80,Zona Metropolitana De Guadalajara,815,1009,123.8
November,2025,32,Bajío,1584,1961,123.8
April,2025,112,Zona Metropolitana De Monterrey,1572,1946,123.79
